, 股票代號, 股票名稱, 發行股數, 收盤價, 市值(佰萬元),類型,yahooid
385,5607,遠雄港Farglory FTZ,22.99791,29.75,68418.78225,tw,5607.tw
386,2419,仲琦Hitron,22.8986229,24.45,55987.13299,tw,2419.tw
387,3052,夆典APEX,22.8713554,13.15,30075.83235,tw,3052.tw
388,1708,東鹼Sesoda,22.8441881,24.15,55168.71426,tw,1708.tw
389,2314,台揚MTI,22.802832,33.35,76047.44472,tw,2314.tw
390,1517,利奇機械Lee Chi,22.7825007,14.25,32465.0635,tw,1517.tw
391,1321,大洋OPC,22.7228268,35.9,81574.94821,tw,1321.tw
392,2516,新建New Asia,22.6278457,5.3,11992.75822,tw,2516.tw
393,6202,盛群HOLTEK,22.61682,72.6,164198.1132,tw,6202.tw
394,6139,亞翔L & K,22.5540929,29.8,67211.19684,tw,6139.tw
395,2509,全坤建CHAINQUI,22.455053,18.5,41541.84805,tw,2509.tw
396,2365,昆盈KYE,22.4528496,12.05,27055.68377,tw,2365.tw
397,2816,旺旺保險UNION INS.,22.3608,21.2,47404.896,tw,2816.tw
398,3048,益登EDOM,22.257254,23.45,52193.26063,tw,3048.tw
399,2020,美亞MAYER PIPE,22.25261,19.35,43058.80035,tw,2020.tw
400,9911,台灣櫻花Taiwan Sakura,22.1121188,51.8,114540.7754,tw,9911.tw
401,1414,東和紡織TUNG HO,22,14.35,31570,tw,1414.tw
402,1477,聚陽Makalot,21.9856581,191.5,421025.3526,tw,1477.tw
403,5519,隆大LD,21.919718,15.6,34194.76008,tw,5519.tw
404,1225,福懋油脂FOPCO,21.8703051,37.45,81904.2926,tw,1225.tw
405,9958,世紀鋼CIAS,21.8172467,107,233444.5397,tw,9958.tw
406,6166,凌華ADLINK,21.7497257,63.4,137893.2609,tw,6166.tw
407,1514,亞力電機AEC,21.7453974,26.1,56755.48721,tw,1514.tw
408,1721,三晃Sunko Ink,21.7347344,11.05,24016.88151,tw,1721.tw
409,2390,云辰Everspring,21.4021602,14.8,31675.1971,tw,2390.tw
410,3028,增你強Zenitron,21.3824864,21.95,46934.55765,tw,3028.tw
411,6024,群益期CFC,21.0437584,38.7,81439.34501,tw,6024.tw
412,3545,敦泰FocalTech,21.0045642,93.5,196392.6753,tw,3545.tw
413,2439,美律Merry,20.9351942,146.5,306700.595,tw,2439.tw
414,3056,總太地產ZongTai,20.9287708,39.4,82459.35695,tw,3056.tw
