, 股票代號, 股票名稱
871,5225,東科-KY
872,1786,科妍
873,4190,佐登-KY
874,6671,三能-KY -KY
875,4133,亞諾法
876,1558,伸興 
877,3416,融程電
878,2233,宇隆
879,1526,日馳
880,3311,閎暉
881,8442,威宏-KY
882,5215,科嘉-KY 
883,6715,嘉基
884,9912,偉聯科技
885,2465,麗臺
886,3004,豐達科技
887,8499,鼎炫-KY 
888,4763,材料-KY
889,6431,光麗-KY
890,6165,捷泰
891,8467,波力-KY  
892,1341,富林-KY-KY
893,3588,通嘉
894,4571,鈞興-KY
895,6666,羅麗芬-KY
896,2471,資通
897,4912,聯德控股-KY
898,3138,耀登
899,2236,百達-KY
900,2243,宏旭-KY
901,6625,必應
902,3563,牧德
903,5284,jpp-KY
904,6533,晶心科
905,1732,毛寶 
906,4557,永新-KY
907,8480,泰昇-KY
908,4807,日成-KY
909,4572,駐龍
910,3046,建碁
911,1516,川飛
912,6641,基士德-KY
913,4581,光隆精密-KY
914,1256,鮮活果汁-KY
915,3130,一零四104 
916,4439,冠星-KY 
917,6591,動力-KY 
918,6172,互億
919,2496,卓越成功
920,2424,隴華 
16,5820,日盛金控
2,5347,世界先進
12,8069,元太
25,8415,大國鋼
103,5512,力麒建設
46,4157,太景-KY
15,6147,頎邦科技
147,6016,康和證券
6,5483,中美晶
45,6182,合晶科技
33,1785,光洋科技
47,3264,欣銓科技
106,5009,榮剛材料
20,4123,晟德
378,6287,元隆電子
1,6488,環球晶
49,5371,中強光電
19,4128,中天生技
3,3105,穩懋
32,5530,龍巖
174,1815,富喬
44,6548,長科
4,4743,合一
56,6244,茂迪
53,2035,唐榮公司
142,5213,亞昕
304,6015,宏遠證券
542,5304,鼎創達
87,3707,漢磊投控
132,6021,大慶證券
234,4707,磐亞
76,4167,松瑞藥
50,6023,元大期
110,4114,健喬信元
72,6188,廣明光電
108,8076,伍豐科技
17,3374,精材
160,5351,鈺創科技
22,6274,台燿科技
36,6446,藥華藥
646,5701,劍湖山
73,8358,金居開發
210,6020,大展證券
31,4147,中裕
58,5425,台半
80,6125,廣運機械
43,4105,東洋藥品
137,8936,國統國際
344,6026,福邦證
238,8933,愛地雅
328,5864,致和證
54,3260,威剛科技
81,3078,僑威科技
10,5903,全家
89,5508,永信建設
240,4113,聯上實業
42,6547,高端疫苗
388,3710,連展投控
62,6589,台康生技
70,8908,欣雄
38,8086,宏捷科技
7,8299,群聯電子
116,5340,建榮工業
206,5514,三豐建設
253,8927,北基國際
385,5905,南仁湖
284,8059,凱碩
35,4174,浩鼎
9,6121,新普科技
102,3630,新鉅科
255,8121,越峰電子
136,6124,業強科技
686,5475,德宏工業
462,6129,普誠科技
605,5381,合正科技
107,8050,廣積
71,4506,崇友實業
66,6180,橘子
179,6509,聚和國際
445,5328,華容
399,3372,典範
67,6173,信昌電陶
185,5392,應華精密
48,5457,宣德
362,5498,凱崴
560,5355,佳總興業
79,8942,森鉅科技
442,5014,建錩實業
130,5443,均豪精密
326,8064,東捷科技
235,5465,富驊企業
547,5302,太欣半導
535,6167,久正光電
371,4207,環泰企業
287,5227,立凱-KY
391,4533,協易機械
550,8085,福華電子
273,5206,坤悅開發
300,5523,豐謙
299,6219,富旺
507,2641,正德
111,5309,系統電子
352,6185,幃翔精密
501,5452,佶優科技
390,6603,富強鑫
97,6290,良維科技
471,9950,萬國通路
60,3211,順達科技
94,4162,智擎
444,5426,振發實業
408,8096,擎亞
27,3227,原相科技
223,8234,新漢
320,6190,萬泰科技
112,6284,佳邦科技
278,1799,易威
93,3176,基亞
405,5324,士林開發
254,6175,立敦科技
228,3265,台星科
138,8938,明安國際
82,8917,欣泰
201,5013,強新工業
322,3294,英濟
222,6220,岳豐科技
141,8916,光隆
205,6186,新潤興業
113,6261,久元電子
154,4726,永昕
65,5478,智冠
262,6126,信音企業
315,3162,精確
24,5306,桂盟國際
86,5609,中菲行
159,8042,金山電子
369,6163,華電聯網
302,5450,南良
203,8931,大園汽電
324,8183,台灣精星
420,3188,鑫龍騰
251,4401,東隆興業
246,4979,華星光
384,8905,裕國
215,1569,濱川企業
303,8049,晶采光電
157,8383,千附實業
21,8436,大江
625,6265,方土昶
213,4907,富宇地產
105,6245,立端科技
184,6535,順藥
230,3624,光頡科技
272,3202,樺晟電子
64,8044,網路家庭
265,6101,寬魚國際
461,4714,永捷
121,8349,恒耀
624,6264,富裔
218,5511,德昌營造
482,5438,東友
173,6208,日揚科技
198,3362,先進光
295,3071,協禧電機
604,8077,洛碁實業
751,3095,及成
373,8111,立碁電子
101,5604,中連貨運
187,8403,盛弘
335,6127,九豪精密
511,4510,高鋒工業
231,4130,健亞
644,3230,錦明實業
264,8182,加高電子
146,4192,杏國
446,5315,光聯科技
292,8390,金益鼎
472,4729,熒茂光學
270,5356,協益電子
249,5489,彩富電子
313,3221,台灣嘉碩
404,3508,位速
120,6212,理銘科技
88,6576,逸達
190,1752,南光
364,6461,益得
263,3144,新揚科
293,6234,高僑
237,8240,華宏新技
332,2596,綠意開發
96,6279,胡連精密
449,3290,東浦
377,6266,泰詠電子
508,3313,斐成企業
416,4939,亞電
8,5904,寶雅國際
281,4168,醣聯
55,8406,金可-KY
629,3322,建舜電子
569,5301,寶得利
289,5490,同亨科技
316,3303,岱稜
430,5902,德記洋行
584,6134,萬旭電業
503,3523,迎輝科技
151,3289,宜特科技
423,4909,新復興
359,3236,千如電機
34,6146,耕興
41,4736,泰博
675,8277,商丞科技
691,5488,松普科技
95,8255,朋程
168,4991,環宇-KY
28,3081,聯亞
90,6223,旺矽科技
590,6118,建達國際
119,6104,創惟科技
323,3363,上詮
660,4903,聯光通信
619,9962,有益鋼鐵
100,6411,晶焱
77,3217,優群科技
425,6170,統振
30,6492,生華科
640,4534,慶騰精密
372,8099,大世科
653,5529,志嘉建設
754,8080,永利聯合
37,3324,雙鴻科技
437,8074,鉅橡
305,4944,兆遠
169,4120,友華生技
182,3083,中華網龍
194,5439,高技企業
400,5410,國眾電腦
59,3552,同致電子
283,6508,惠光
134,8444,綠河-KY
659,8935,邦泰
139,4152,台微體
